Starting price: $10.00
On day 1, price is $9.53
On day 2, price is $9.14
On day 3, price is $8.96
On day 4, price is $8.89
On day 5, price is $8.85
On day 6, price is $8.77
On day 7, price is $10.28
On day 8, price is $10.24
On day 9, price is $11.19
On day 10, price is $10.87
On day 11, price is $11.04
On day 12, price is $11.31
On day 13, price is $10.89
On day 14, price is $10.59
On day 15, price is $12.29
On day 16, price is $12.13
On day 17, price is $12.17
On day 18, price is $12.07
On day 19, price is $13.53
On day 20, price is $12.95
On day 21, price is $15.09
On day 22, price is $17.32
On day 23, price is $18.80
On day 24, price is $18.65
On day 25, price is $21.23
On day 26, price is $20.35
On day 27, price is $20.04
On day 28, price is $19.04
On day 29, price is $18.99
On day 30, price is $18.18
On day 31, price is $18.17
On day 32, price is $17.76
On day 33, price is $18.09
On day 34, price is $18.07
On day 35, price is $17.34
On day 36, price is $18.49
On day 37, price is $19.08
On day 38, price is $18.34
On day 39, price is $17.67
On day 40, price is $19.46
On day 41, price is $20.05
On day 42, price is $20.97
On day 43, price is $20.04
On day 44, price is $21.40
On day 45, price is $22.37
On day 46, price is $21.62
On day 47, price is $21.64
On day 48, price is $22.37
On day 49, price is $21.71
On day 50, price is $21.22
On day 51, price is $23.21
On day 52, price is $25.04
On day 53, price is $28.68
On day 54, price is $29.65
On day 55, price is $28.71
On day 56, price is $31.35
On day 57, price is $31.73
On day 58, price is $37.02
On day 59, price is $40.48
On day 60, price is $44.51
On day 61, price is $42.85
On day 62, price is $41.12
On day 63, price is $39.14
On day 64, price is $43.34
On day 65, price is $41.95
On day 66, price is $40.28
On day 67, price is $46.12
On day 68, price is $45.39
On day 69, price is $43.69
On day 70, price is $41.97
On day 71, price is $41.54
On day 72, price is $39.57
On day 73, price is $38.25
On day 74, price is $39.68
On day 75, price is $39.05
On day 76, price is $44.07
On day 77, price is $42.05
On day 78, price is $42.39
On day 79, price is $49.52
On day 80, price is $48.31
On day 81, price is $47.80
On day 82, price is $52.24
On day 83, price is $51.71
On day 84, price is $60.68
On day 85, price is $60.65
On day 86, price is $58.26
On day 87, price is $59.40
On day 88, price is $57.57
On day 89, price is $61.09
On day 90, price is $59.66
On day 91, price is $65.29
On day 92, price is $62.87
On day 93, price is $60.21
On day 94, price is $65.49
On day 95, price is $72.99
On day 96, price is $69.52
On day 97, price is $66.95
On day 98, price is $64.94
On day 99, price is $64.29
On day 100, price is $63.49
On day 101, price is $67.57
On day 102, price is $72.59
On day 103, price is $69.50
On day 104, price is $69.38
On day 105, price is $66.97
On day 106, price is $74.14
On day 107, price is $73.34
On day 108, price is $70.54
On day 109, price is $70.35
On day 110, price is $79.07
On day 111, price is $86.92
On day 112, price is $84.94
On day 113, price is $91.65
On day 114, price is $105.03
